Address,Volume,Number_of_Transactions,Number_of_Received_Transactions,Number_of_Sent_Transactions,Amount Received,Amount_Sent,Mean_of_Received,Mean_of_Sent,Stddev_of_Received,Stddev_of_Sent,Maximum_Amount_of_Sent_&_Received,Last_Balance
0x4000b8d6991d61167BBE3744EE15A949c047FB8f,94708,2,1,1,47354,47354,47354.0,47354.0,0.0,0.0,47354,0
0x90C5c1e13fC4f036d8f9572e1264EDcB9feFFe6c,1446286,6,3,3,723143,723143,241047.66666666666,241047.66666666666,51504.501591824206,47016.85177560157,309325,0
0x39aEfE611A8613C7adeA532562bD8664eE11865B,174322,2,1,1,87161,87161,87161.0,87161.0,0.0,0.0,87161,0
0x3e21270c7a4aE8714263c6a8054fdC7F16fD1Eda,104544,2,1,1,52272,52272,52272.0,52272.0,0.0,0.0,52272,0
0x481fE4b0A413ddaC0e0e19f1a7C416fe28AF670e,156740,2,1,1,78370,78370,78370.0,78370.0,0.0,0.0,78370,0
0x0354f4CF8b24c7471473Db559d3bC81D94738042,578130,2,1,1,289065,289065,289065.0,289065.0,0.0,0.0,289065,0
0x6B6E2b654F48d78b17e3a6fd2b627d90f166608A,1248764,4,2,2,624382,624382,312191.0,312191.0,268444.0,12191.0,580635,0
0x40fabDCDe60d98F80033D79D4d5C771Dbe0fAafa,43678,2,1,1,21839,21839,21839.0,21839.0,0.0,0.0,21839,0
0x5BB2406C109094e419aD74339A8DC388e63c93c6,774680,1,0,1,0,774680,0,774680.0,0,0.0,774680,0
0x5E62E7fe1A1b06e12C56AAcbfA9Ae3D321D57744,503400000,3,1,2,251700000,251700000,251700000.0,125850000.0,0.0,125849000.0,251700000,0
0xEbE21d0a3c99143a43f8Fb13daCA9F6cA0123899,2577569,5,3,2,1110000,1467569,370000.0,733784.5,61644.14002968976,86215.5,820000,290000
0x6b34d2ec944C210e3F11A8A6a44463CA72ABeb0c,369765,1,0,1,0,369765,0,369765.0,0,0.0,369765,0
0xBA791F9Ad33BE976D23007524CeBfe7d9eb85E86,5049,1,1,0,5049,0,5049.0,0,0.0,0,5049,5049
